frameNo,frameScore,firstTokenOfFrame
451,225,birds
452,9,spring
453,140,raspberries
454,57,crop
455,84,beans
456,237,leeks
457,58,garlic
458,310,may
459,20,man
460,2,couple
461,3,news
462,205,roses
463,11,bushes
464,7,detritus
465,14,patch
466,4,earth
467,1,flowering
468,129,colour
469,230,like
470,30,explosions
471,31,like
472,22,suns
473,209,way
474,13,mind
475,4,arrangement
476,6,flowers
477,5,memorial
478,3,garden
479,7,moment
480,5,couple
481,6,thought
482,21,man
483,208,life
